Epoch 165/200, Training Loss: 0.11140726418245996, Validation Loss: 0.11159370561091664, Validation Accuracy: 0.95241
Epoch 166/200, Training Loss: 0.11139624002477345, Validation Loss: 0.11104451550748021, Validation Accuracy: 0.952583
Epoch 167/200, Training Loss: 0.1113751440011349, Validation Loss: 0.11115351097937971, Validation Accuracy: 0.952544
Epoch 168/200, Training Loss: 0.11140748069956342, Validation Loss: 0.11179937507969122, Validation Accuracy: 0.952301
Epoch 169/200, Training Loss: 0.11136732155896148, Validation Loss: 0.11088779125922023, Validation Accuracy: 0.952799
Epoch 170/200, Training Loss: 0.11135266020422595, Validation Loss: 0.11131533711386946, Validation Accuracy: 0.952693
Epoch 171/200, Training Loss: 0.11136408806525216, Validation Loss: 0.11144204763844372, Validation Accuracy: 0.952512
Epoch 172/200, Training Loss: 0.11135746338667922, Validation Loss: 0.11246377810502585, Validation Accuracy: 0.951973
Epoch 173/200, Training Loss: 0.11133235278203316, Validation Loss: 0.11211834274256191, Validation Accuracy: 0.952203
Epoch 174/200, Training Loss: 0.11132525439962475, Validation Loss: 0.11229085505675203, Validation Accuracy: 0.952076
Epoch 175/200, Training Loss: 0.1113377154519708, Validation Loss: 0.11172520245511691, Validation Accuracy: 0.952416
Epoch 176/200, Training Loss: 0.11134947564120484, Validation Loss: 0.11142598656705394, Validation Accuracy: 0.952558
Epoch 177/200, Training Loss: 0.11130752687802994, Validation Loss: 0.11175163166401104, Validation Accuracy: 0.952434
Epoch 178/200, Training Loss: 0.11131388300992058, Validation Loss: 0.11145283210391815, Validation Accuracy: 0.952424
Epoch 179/200, Training Loss: 0.11133261327954573, Validation Loss: 0.11112384488597846, Validation Accuracy: 0.952566
Epoch 180/200, Training Loss: 0.1113301611459429, Validation Loss: 0.11094525101752327, Validation Accuracy: 0.952718
Epoch 181/200, Training Loss: 0.1113333271023772, Validation Loss: 0.11046275501243603, Validation Accuracy: 0.952942
Epoch 182/200, Training Loss: 0.11130393093595546, Validation Loss: 0.11096910001656499, Validation Accuracy: 0.952775
Epoch 183/200, Training Loss: 0.11132883019891024, Validation Loss: 0.11097468695225426, Validation Accuracy: 0.952641
Epoch 184/200, Training Loss: 0.11132995334016527, Validation Loss: 0.11133134357940655, Validation Accuracy: 0.952507
Epoch 185/200, Training Loss: 0.11129448394143111, Validation Loss: 0.11055682566219245, Validation Accuracy: 0.952928
Epoch 186/200, Training Loss: 0.11132236465499191, Validation Loss: 0.11056766858973062, Validation Accuracy: 0.952751
Epoch 187/200, Training Loss: 0.11132353363069317, Validation Loss: 0.11032051981066743, Validation Accuracy: 0.952986
Epoch 188/200, Training Loss: 0.11125952141790513, Validation Loss: 0.1108206884025004, Validation Accuracy: 0.952757
Epoch 189/200, Training Loss: 0.11127925543674065, Validation Loss: 0.11110693466263458, Validation Accuracy: 0.952548
Epoch 190/200, Training Loss: 0.11129851201188297, Validation Loss: 0.11012418887104851, Validation Accuracy: 0.953056
Epoch 191/200, Training Loss: 0.11127190622429893, Validation Loss: 0.11066984111508622, Validation Accuracy: 0.952835
Epoch 192/200, Training Loss: 0.11130401946093067, Validation Loss: 0.11100849663963713, Validation Accuracy: 0.952646
Epoch 193/200, Training Loss: 0.11132757171294548, Validation Loss: 0.11037174119545629, Validation Accuracy: 0.952784
Epoch 194/200, Training Loss: 0.11121886134825693, Validation Loss: 0.10987313544026579, Validation Accuracy: 0.953014
Epoch 195/200, Training Loss: 0.11129390182145076, Validation Loss: 0.11093492675037049, Validation Accuracy: 0.952709
Epoch 196/200, Training Loss: 0.11123798400100084, Validation Loss: 0.11089494936287213, Validation Accuracy: 0.952478
Epoch 197/200, Training Loss: 0.11127234701367827, Validation Loss: 0.11059592211970125, Validation Accuracy: 0.952877
Epoch 198/200, Training Loss: 0.11126945135996429, Validation Loss: 0.1099746421265145, Validation Accuracy: 0.953054
Epoch 199/200, Training Loss: 0.1112797795200619, Validation Loss: 0.11042045285336126, Validation Accuracy: 0.952851
Epoch 200/200, Training Loss: 0.11125082028662231, Validation Loss: 0.11054795064008274, Validation Accuracy: 0.95297
